experiment,label,AP,AP5,AP75,AP_M,AP_L,AR,AR5,AR75,AR_M,AR_L
linf4,snow_2,0.49166563463483587,0.7659328368624851,0.5248815949635156,0.4392908354528398,0.5667385332324896,0.5297071788413099,0.7811712846347607,0.5662783375314862,0.46932532095056,0.6139725009290227
linf4,snow_3,0.41146608468203766,0.6930218837415543,0.4145522771020066,0.35764969172658995,0.4883102417036658,0.4516057934508816,0.7167821158690176,0.4628463476070529,0.38759901666211416,0.5400222965440357
linf4,snow_4,0.4196257215810863,0.7025279881597875,0.4334838710173943,0.36397001631735293,0.5001416152817306,0.4611146095717884,0.7285894206549118,0.48079345088161207,0.39464627151051623,0.5529542920847269
linf4,frost_0,0.6133943908223236,0.8505014116884111,0.6738666212377079,0.5615642974277797,0.6902396869879275,0.6509918136020151,0.8690176322418136,0.7076511335012594,0.5942365473914231,0.7319583797844669
linf4,frost_1,0.5360457802229353,0.8058180632251979,0.5752493873199155,0.47396489710761447,0.6256210501941617,0.5765900503778337,0.8243073047858942,0.618073047858942,0.5069926249658564,0.6738758825715346
linf4,frost_2,0.476428876192677,0.7517154286920921,0.4997924534836558,0.4055416850643918,0.5762987921581069,0.5187027707808565,0.7726700251889169,0.548331234256927,0.44045342802512977,0.6269788182831662
linf4,frost_3,0.462139636943214,0.7400941842643962,0.4797438668058486,0.38695792515350946,0.5638337739342746,0.5041876574307305,0.7602329974811083,0.5288098236775819,0.4237093690248567,0.615570419918246
linf4,frost_4,0.421534900788735,0.6964145451764728,0.436713620502674,0.34576207373835177,0.5251918477170107,0.463838161209068,0.7213476070528967,0.48268261964735515,0.38093417099153243,0.5781865477517651
linf4,fog_0,0.6241453403474875,0.8718588171894978,0.6861450591434178,0.5639329912773583,0.7098231837934814,0.6618073047858942,0.8850755667506297,0.7185138539042821,0.5972685058727123,0.7534745447788925
linf4,fog_1,0.6068746396598262,0.8610070065211957,0.6731887159420624,0.5434225132065529,0.6971460577585007,0.6445214105793451,0.8742128463476071,0.7032430730478589,0.5765637803878721,0.7405797101449275
linf4,fog_2,0.5880222586842239,0.8499618437140197,0.6416239466588471,0.5211755759990255,0.6818547490060588,0.6268734256926952,0.8627204030226701,0.6796284634760705,0.5570335973777656,0.7253065774804905
linf4,fog_3,0.5842843508979662,0.8406609563644704,0.640264707659306,0.5189723601752191,0.6779359536748284,0.6235201511335011,0.8597292191435768,0.6727015113350125,0.5540562687790223,0.7214790040876997
